Username;Location;Nb_comments;Nb_likes;Note;Date_publication;Title;Date_experience
archiemyl;big bear lake, californie;160;195;50;september 15 2019;without a doubt, simply amazing;september 2019
dkkid;high river, canada;54;37;50;september 15 2019;unreal;september 2019
kindred411uk;sheffield, royaume uni;41;52;50;september 15 2019;amazing;september 2019
runner24;orlando, floride;525;447;50;september 14 2019;something you must see;september 2019
whereisjenjen;covington, kentucky;47;36;50;september 14 2019;bucket list;september 2019
garryg145;salisbury, royaume uni;17;21;50;september 13 2019;grand canyon south rim;september 2019
eileen101;georgia;12;17;50;september 12 2019;walked the rim   intermittently took the free shuttle bus;september 2019
antonellap916;gradara, italie;42;45;50;september 12 2019;place to see before you die;august 2019
suellent942;perth, australie;301;174;50;september 12 2019;so much to see â€”  picture postcard views roll on forever;august 2019
bottomshelfhockey;richmond, canada;927;889;50;september 11 2019;wow â€“ 5 out of 5 rating;april 2019
desand26;west sussex, royaume uni;65;81;50;september 11 2019;stunning miracle of nature;september 2019
ms v;vancouver, canada;190;50;50;september 11 2019;awe inspiring;september 2019
kearsen;aldgate, australie;78;67;50;september 11 2019;amazing and indescribably spectacular;june 2019
640clareb;basingstoke, royaume uni;49;34;50;september 10 2019;fantastic;september 2019
u5732xisandraa;gilbert, arizona;2;2;40;september 10 2019;a must visit site;december 2018
somersetbill;somerset;84;79;50;september 10 2019;spectacular;september 2019
malcolmle;jerusalem, israel;1210;284;50;september 10 2019;wow;september 2019
kododrummer;iekaterinbourg, russie;3219;138696;50;september 10 2019;phenomenally spectacular;august 2019
joe r r;bethlehem, pennsylvanie;13;25;50;september 10 2019;great views of the canyon;august 2019
globetrotterbella;san antonio, texas;340;228;50;september 9 2019;best time to go is when kids are back in school;august 2019
rick k;colorado springs, colorado;84;45;50;september 9 2019;picturesque;may 2019
lovetraveling99;michigan;308;104;50;september 9 2019;spectacular;september 2019
darkknight84;elyria, ohio;96;69;50;september 9 2019;unbelievable beauty;september 2019
birgitte v;svendborg, danemark;44;43;40;september 8 2019;absolute a great place, but not for younger kids.;august 2019
stiguy33;vermont;61;42;50;september 8 2019;feeling small in a big way;august 2019
frank k;chicago, illinois;30;54;50;september 8 2019;monumental;august 2019
jamesmo828iz;rochester, michigan;100;86;40;september 7 2019;beautiful;july 2019
stlighthouse;saint george;117;62;50;september 6 2019;the big crack;june 2019
jamy1961;cleveland tn;190;230;50;september 6 2019;words can t begin to explain;august 2019
smunr;aberdeen, royaume uni;64;38;50;september 5 2019;brilliant;march 2019
goldenalgae;pittsburgh, pennsylvanie;109;66;50;september 5 2019;leaves you breathless;august 2019
alan b;kensington, maryland;12;14;50;september 5 2019;while much more crowded with tourists than the north rim, the south rim offers terrific views of this marvelous canyon.;august 2019
edward m;illinois;284;78;50;september 4 2019;bucket list for sure;august 2019
teamlocust;paramus, new jersey;9;10;50;september 4 2019;july visit;july 2019
azizi p;williamsburg, virginie;90;45;50;september 4 2019;breathtaking;august 2019
a m;montgomery, texas;11;18;50;september 4 2019;awesome views;september 2019
datawithstyle;phoenix, arizona;4;4;50;september 4 2019;south rim   breathtaking views, lots of tourists;september 2019
jimp526;o fallon, illinois;11;17;50;september 4 2019;canyon tour, stop #4;october 2018
simonrn2015ja;bridgnorth, royaume uni;6;6;50;september 3 2019;that river s been there a while;august 2019
joseph m;tiffin, ohio;245;111;50;september 3 2019;third natural wonder of the world;september 2019
droopydrawrs52;peterborough, royaume uni;1164;533;50;september 3 2019;without doubt the best views ever;september 2019
ken1077;onsted, michigan;298;65;50;september 3 2019;bucket list place to visit;october 2018
